ShipName,ShipType,Nationality
LA ORBE,FRAGATA,Spanish
SAN CARLOS,PAQUEBOTE,Spanish
SANTA PERPETUA,FRAGATA,Spanish
LA LIEBRE,FRAGATA,Spanish
LA ATREVIDA,FRAGATA,Spanish
LA ATREVIDA,CORVETA,Spanish
DESCONOCIDO-04,NAVIO,Spanish
SANTA EULALIA,PAQUEBOTE,Spanish
SAN PIO,CORVETA,Spanish
SANTISIMO SACRAMENTO,FRAGATA,Spanish
EL PINZON,PAQUEBOTE,Spanish
EL CUERVO,PAQUEBOTE,Spanish
Na Sa DE LA PIEDAD,PAQUEBOTE,Spanish
LA INFANTA,PAQUEBOTE,Spanish
LA DIANA,PAQUEBOTE,Spanish
EL LANZAROTE,PAQUEBOTE,Spanish
EL QUIROS,PAQUEBOTE,Spanish
La Cantabria,Fragata correo,Spanish
La Diana,Fragata correo,Spanish
EL MAGALLANES,PAQUEBOTE,Spanish
EL KAULIKAN,PAQUEBOTE,Spanish
EL DESPACHO,PAQUEBOTE,Spanish
El Quiros,Fragata correo,Spanish
San Pedro y San Pablo,Fragata Correo,Spanish
El Real Carlos,Paquebot,Spanish
SANTIAGO,PAQUEBOTE,Spanish
EUROPA,NAVIO,Spanish
RESOLUCION Y AVENTURA,NAVIO,Spanish
MAGALLANES,NAVIO,Spanish
JACINTA,MISTICO,Spanish
LABORDE,BERGANTIN,Spanish
Greyhound,,British
Duke of Dorset,,British
Swallow,Sloop,British
Alert,Brig,British
Thisbe,,British
Crown,,British
Lapwing,,British
Cyrene,6th Rate,British
Centurian,4th Rate,British
Admiral Vernon,,British
Marlborough,,British
Dragon,,British
Tartar,Frigate,British
Sandwich,,British
Griffin,,British
Griffin,6th Rate,British
Royal George,,British
Ilchester,,British
Streatham,,British
Ruby,3rd Rate,British
Ruby,4th Rate,British
Blandford,Frigate,British
Jason,4th rate,British
Saltash,,British
Falcon,Sloop,British
Jason,Sloop,British
Jamaica,,British
Lark,5th Rate,British
Hector,,British
Lark,,British
Mercury,6th Rate,British
Kent,3rd Rate,British
Mercury,,British
Mercury,Frigate,British
Renown,5th Rate,British
Renown,,British
Renown,Frigate,British
Sheerness,,British
Badger,Snow,British
Speedwell,,British
Sphinx,,British
Cumberland,3rd Rate,British
Prince Henry,,British
Assurance,5th Rate,British
Glasgow,6th Rate,British
Glasgow,,British
Glory,5th Rate,British
Severn,,British
Spy,Cutter,British
Assistance,4th Rate,British
Gosport,5th Rate,British
Kingfisher,Sloop,British
Success,6th Rate,British
Tryal,Sloop,British
Tryal,Sloop (?),British
Crown,5th Rate,British
Prince George,,British
Rainbow,5th Rate,British
Salisbury,,British
Reliance,Armed Storeship,British
Endeavour,Bark,British
Ajax,,British
Amazon,Frigate,British
Greenwich,Storeship,British
Dunkirk,4th Rate,British
Colchester,,British
Greenwich,4th Rate,British
Colchester,4th Rate,British
Fairy,6th rate,British
Fairy,Sloop,British
Hector,3rd Rate,British
Dreadnought,3rd Rate,British
Surprise,,British
Prince Rupert,,British
Eltham,,British
Dedaigneuse,5th Rate,British
Caroline,5th rate,British
Sceptre,3rd rate,British
Phaeton,5th rate,British
Culloden,3rd rate,British
Glatton,,British
Lancaster,3rd rate,British
Concorde,5th rate,British
Saldanha,,British
Amazon,5th Rate,British
Belle Isle,3rd rate,British
Conqueror,3rd rate,British
Decade,5th Rate,British
Swiftsure,3rd Rate,British
Lord Walsingham,,British
Harrier,Brigsloop,British
Earl Spencer,,British
Georgina,,British
Tremendous,3rd Rate,British
Sceptre,3rd Rate,British
Lancaster,3rd Rate,British
Surprise,5th Rate,British
Scourge,Sloop,British
Amphitrite,6th Rate,British
Concorde,5th Rate,British
Stork,Sloop,British
Caroline,,British
Harrier,,British
Royal Admiral,,British
Rattlesnake,Sloop,British
Acasta,5th Rate,British
Camel,storeship,British
Albatross,Brig,British
Ambuscade,5th Rate,British
Andromache,5th Rate,British
Argo,5th Rate,British
Belmont,,British
Diana,5th Rate,British
Earl of Mansfield,,British
Ganges,3rd Rate,British
Eliza,,British
Gorgon,5th Rate,British
Greyhound,5th Rate,British
Lansdown,,British
Marquis of Lansdowne,,British
Royal Charlotte,,British
Sans Parcil,3rd Rate,British
Scorpion,Sloop,British
Tremendous,,British
Castle Huntley,,British
Earl Talbot,,British
General Elliot,,British
Bellona,,British
Seine,5th Rate,British
Lilly,Sloop,British
Hound,Sloop,British
Malabar,4th Rate,British
Rattler,Sloop,British
Seahorse,,British
Laurel,6th Rate,British
Malabar,,British
Townsend,Packet ship,British
Hermes,Sloop,British
Diadem,3rd Rate,British
Cumberland,,British
Chichester,Storeship,British
Cuffnells,,British
Alfred,,British
Lascelles,,British
Thames,,British
Travers,,British
Camel,Storeship,British
Cormorant,Sloop,British
Diana,5th rate,British
Falcon,brig sloop,British
Falcon,brig,British
Thames,5th rate,British
True Briton,,British
General Coote,,British
Atalanta,6th rate,British
Kent,,British
Lord Anson,,British
Seahorse,6th Rate,British
Britannia,,British
Ceres,,British
Coldstream,,British
Dunira,,British
Earl of Middlesex,,British
Emerald,5th rate,British
George IV,,British
King George III,,British
Macqueen,,British
Perseverence,,British
Poulette,6th rate,British
Prince Ernest,packet ship,British
Queen Charlotte,,British
Repulse,,British
St Vincent,packet ship,British
Tigris,,British
Acasta,5th rate,British
Neptune,2nd rate,British
Nereide,5th rate,British
Saphire,,British
Stirling Castle,3rd rate,British
Euphrates,,British
Warren,,British
Vulture,Sloop,British
Weymouth,5th rate,British
Walmer Castle,,British
Weymouth,5th Rate,British
Warley,,British
Warley,,British 
Windham,,British
Walpole,,British
Warren Hastings,,British
Calcutta,,British
Penelope,5th rate,British
Majestic,4th rate,British
